Date,Option Type,Strike Price,close,Underlying,expiry,futures,days2expiry,atm_strike
2020-02-10,PE,9500.0,3.4,12031.5,2020-03-26,12031.5,45,3500
2020-02-11,PE,9500.0,3.05,12107.9,2020-03-26,12107.9,44,3500
2020-02-12,PE,9500.0,3.15,12201.2,2020-03-26,12201.2,43,3500
2020-02-13,PE,9500.0,3.25,12174.65,2020-03-26,12174.65,42,3500
2020-02-14,PE,9500.0,3.15,12113.45,2020-03-26,12113.45,41,3500
2020-02-17,PE,9500.0,3.35,12045.8,2020-03-26,12045.8,38,3500
2020-02-18,PE,9500.0,2.95,11992.5,2020-03-26,11992.5,37,3500
2020-02-19,PE,9500.0,3.4,12125.9,2020-03-26,12125.9,36,3500
2020-02-20,PE,9500.0,3.4,12080.85,2020-03-26,12080.85,35,3500
2020-02-24,PE,9500.0,2.8,11829.4,2020-03-26,11829.4,31,3500
2020-02-25,PE,9500.0,3.5,11797.9,2020-03-26,11797.9,30,3500
2020-02-26,PE,9500.0,4.4,11678.5,2020-03-26,11678.5,29,3500
2020-02-27,PE,9500.0,4.3,11633.3,2020-03-26,11633.3,28,3500
2020-02-28,PE,9500.0,13.75,11201.75,2020-03-26,11201.75,27,3500
2020-03-02,PE,9500.0,23.85,11132.75,2020-03-26,11132.75,24,3500
2020-03-03,PE,9500.0,14.85,11303.3,2020-03-26,11303.3,23,3500
2020-03-04,PE,9500.0,13.7,11251.0,2020-03-26,11251.0,22,3500
2020-03-05,PE,9500.0,10.2,11269.0,2020-03-26,11269.0,21,3500
2020-03-06,PE,9500.0,21.35,10989.45,2020-03-26,10989.45,20,3500
2020-03-09,PE,9500.0,72.5,10451.45,2020-03-26,10451.45,17,3500
2020-03-11,PE,9500.0,71.05,10458.4,2020-03-26,10458.4,15,3500
2020-03-12,PE,9500.0,394.65,9590.15,2020-03-26,9590.15,14,3500
2020-03-13,PE,9500.0,328.5,9955.2,2020-03-26,9955.2,13,3500
2020-03-16,PE,9500.0,744.35,9197.4,2020-03-26,9197.4,10,3500
2020-03-17,PE,9500.0,819.95,8967.05,2020-03-26,8967.05,9,3500
2020-03-18,PE,9500.0,1152.55,8468.8,2020-03-26,8468.8,8,3500
2020-03-19,PE,9500.0,1350.95,8263.45,2020-03-26,8263.45,7,3500
2020-03-20,PE,9500.0,851.1,8745.45,2020-03-26,8745.45,6,3500
2020-03-23,PE,9500.0,1936.5,7610.25,2020-03-26,7610.25,3,3500
2020-03-24,PE,9500.0,1637.5,7801.05,2020-03-26,7801.05,2,3500
2020-03-25,PE,9500.0,1159.15,8317.85,2020-03-26,8317.85,1,3500
2020-03-26,PE,9500.0,871.9,8641.45,2020-03-26,8641.45,0,3500
2020-01-01,CE,9500.0,2718.75,12182.5,2020-03-26,12182.5,85,3500
2020-01-02,CE,9500.0,2718.75,12282.2,2020-03-26,12282.2,84,3500
2020-01-03,CE,9500.0,2718.75,12226.65,2020-03-26,12226.65,83,3500
2020-01-06,CE,9500.0,2718.75,11993.05,2020-03-26,11993.05,80,3500
2020-01-07,CE,9500.0,2595.0,12052.95,2020-03-26,12052.95,79,3500
2020-01-08,CE,9500.0,2600.9,12025.35,2020-03-26,12025.35,78,3500
2020-01-09,CE,9500.0,2729.1,12215.9,2020-03-26,12215.9,77,3500
2020-01-10,CE,9500.0,2822.0,12256.8,2020-03-26,12256.8,76,3500
2020-01-13,CE,9500.0,2886.75,12329.55,2020-03-26,12329.55,73,3500
2020-01-14,CE,9500.0,2932.35,12362.3,2020-03-26,12362.3,72,3500
2020-01-15,CE,9500.0,2932.35,12343.3,2020-03-26,12343.3,71,3500
2020-01-16,CE,9500.0,2932.35,12355.5,2020-03-26,12355.5,70,3500
2020-01-17,CE,9500.0,2971.45,12352.35,2020-03-26,12352.35,69,3500
2020-01-20,CE,9500.0,2850.0,12224.55,2020-03-26,12224.55,66,3500
2020-01-21,CE,9500.0,2735.5,12169.85,2020-03-26,12169.85,65,3500
2020-01-22,CE,9500.0,2729.15,12106.9,2020-03-26,12106.9,64,3500
2020-01-23,CE,9500.0,2730.0,12180.35,2020-03-26,12180.35,63,3500
2020-01-24,CE,9500.0,2730.0,12248.25,2020-03-26,12248.25,62,3500
2020-01-27,CE,9500.0,2670.0,12119.0,2020-03-26,12119.0,59,3500
2020-01-28,CE,9500.0,2639.35,12055.8,2020-03-26,12055.8,58,3500
2020-01-29,CE,9500.0,2639.35,12129.5,2020-03-26,12129.5,57,3500
2020-01-30,CE,9500.0,2558.3,12035.8,2020-03-26,12035.8,56,3500
2020-01-31,CE,9500.0,2520.0,11962.1,2020-03-26,11962.1,55,3500
2020-02-01,CE,9500.0,2227.4,11661.85,2020-03-26,11661.85,54,3500
2020-02-03,CE,9500.0,2197.5,11707.9,2020-03-26,11707.9,52,3500
2020-02-04,CE,9500.0,2440.0,11979.65,2020-03-26,11979.65,51,3500
2020-02-05,CE,9500.0,2581.05,12089.15,2020-03-26,12089.15,50,3500
2020-02-06,CE,9500.0,2642.0,12137.95,2020-03-26,12137.95,49,3500
2020-02-07,CE,9500.0,2575.0,12098.35,2020-03-26,12098.35,48,3500
2020-02-10,CE,9500.0,2546.1,12031.5,2020-03-26,12031.5,45,3500
2020-02-11,CE,9500.0,2617.5,12107.9,2020-03-26,12107.9,44,3500
2020-02-12,CE,9500.0,2617.5,12201.2,2020-03-26,12201.2,43,3500
2020-02-13,CE,9500.0,2665.0,12174.65,2020-03-26,12174.65,42,3500
2020-02-14,CE,9500.0,2615.0,12113.45,2020-03-26,12113.45,41,3500
2020-02-17,CE,9500.0,2570.0,12045.8,2020-03-26,12045.8,38,3500
2020-02-18,CE,9500.0,2460.0,11992.5,2020-03-26,11992.5,37,3500
2020-02-19,CE,9500.0,2545.0,12125.9,2020-03-26,12125.9,36,3500
2020-02-20,CE,9500.0,2563.85,12080.85,2020-03-26,12080.85,35,3500
2020-02-24,CE,9500.0,2327.5,11829.4,2020-03-26,11829.4,31,3500
2020-02-25,CE,9500.0,2302.0,11797.9,2020-03-26,11797.9,30,3500
2020-02-26,CE,9500.0,2185.9,11678.5,2020-03-26,11678.5,29,3500
2020-02-27,CE,9500.0,2111.85,11633.3,2020-03-26,11633.3,28,3500
2020-02-28,CE,9500.0,1644.15,11201.75,2020-03-26,11201.75,27,3500
2020-03-02,CE,9500.0,1647.55,11132.75,2020-03-26,11132.75,24,3500
2020-03-03,CE,9500.0,1797.85,11303.3,2020-03-26,11303.3,23,3500
2020-03-04,CE,9500.0,1742.6,11251.0,2020-03-26,11251.0,22,3500
2020-03-05,CE,9500.0,1759.0,11269.0,2020-03-26,11269.0,21,3500
2020-03-06,CE,9500.0,1447.95,10989.45,2020-03-26,10989.45,20,3500
2020-03-09,CE,9500.0,1012.05,10451.45,2020-03-26,10451.45,17,3500
2020-03-11,CE,9500.0,1017.9,10458.4,2020-03-26,10458.4,15,3500
2020-03-12,CE,9500.0,431.05,9590.15,2020-03-26,9590.15,14,3500
2020-03-13,CE,9500.0,722.45,9955.2,2020-03-26,9955.2,13,3500
2020-03-16,CE,9500.0,357.15,9197.4,2020-03-26,9197.4,10,3500
2020-03-17,CE,9500.0,228.9,8967.05,2020-03-26,8967.05,9,3500
2020-03-18,CE,9500.0,78.85,8468.8,2020-03-26,8468.8,8,3500
2020-03-19,CE,9500.0,59.6,8263.45,2020-03-26,8263.45,7,3500
2020-03-20,CE,9500.0,73.4,8745.45,2020-03-26,8745.45,6,3500
2020-03-23,CE,9500.0,12.55,7610.25,2020-03-26,7610.25,3,3500
2020-03-24,CE,9500.0,8.5,7801.05,2020-03-26,7801.05,2,3500
2020-03-25,CE,9500.0,4.4,8317.85,2020-03-26,8317.85,1,3500
2020-03-26,CE,9500.0,0.15,8641.45,2020-03-26,8641.45,0,3500
2020-01-01,PE,9600.0,14.8,12182.5,2020-03-26,12182.5,85,3500
2020-01-02,PE,9600.0,14.8,12282.2,2020-03-26,12282.2,84,3500
2020-01-03,PE,9600.0,14.8,12226.65,2020-03-26,12226.65,83,3500
2020-01-06,PE,9600.0,14.8,11993.05,2020-03-26,11993.05,80,3500
2020-01-07,PE,9600.0,14.8,12052.95,2020-03-26,12052.95,79,3500
2020-01-08,PE,9600.0,14.8,12025.35,2020-03-26,12025.35,78,3500
2020-01-09,PE,9600.0,14.8,12215.9,2020-03-26,12215.9,77,3500
2020-01-10,PE,9600.0,14.8,12256.8,2020-03-26,12256.8,76,3500
2020-01-13,PE,9600.0,14.8,12329.55,2020-03-26,12329.55,73,3500
2020-01-14,PE,9600.0,14.8,12362.3,2020-03-26,12362.3,72,3500
2020-01-15,PE,9600.0,14.8,12343.3,2020-03-26,12343.3,71,3500
2020-01-16,PE,9600.0,14.8,12355.5,2020-03-26,12355.5,70,3500
2020-01-17,PE,9600.0,14.8,12352.35,2020-03-26,12352.35,69,3500
2020-01-20,PE,9600.0,14.8,12224.55,2020-03-26,12224.55,66,3500
2020-01-21,PE,9600.0,14.8,12169.85,2020-03-26,12169.85,65,3500
2020-01-22,PE,9600.0,14.8,12106.9,2020-03-26,12106.9,64,3500
2020-01-23,PE,9600.0,14.8,12180.35,2020-03-26,12180.35,63,3500
2020-01-24,PE,9600.0,14.8,12248.25,2020-03-26,12248.25,62,3500
2020-01-27,PE,9600.0,14.8,12119.0,2020-03-26,12119.0,59,3500
2020-01-28,PE,9600.0,14.8,12055.8,2020-03-26,12055.8,58,3500
2020-01-29,PE,9600.0,14.8,12129.5,2020-03-26,12129.5,57,3500
2020-01-30,PE,9600.0,14.8,12035.8,2020-03-26,12035.8,56,3500
2020-01-31,PE,9600.0,14.8,11962.1,2020-03-26,11962.1,55,3500
2020-02-01,PE,9600.0,14.8,11661.85,2020-03-26,11661.85,54,3500
2020-02-03,PE,9600.0,14.8,11707.9,2020-03-26,11707.9,52,3500
2020-02-04,PE,9600.0,14.8,11979.65,2020-03-26,11979.65,51,3500
2020-02-05,PE,9600.0,14.8,12089.15,2020-03-26,12089.15,50,3500
2020-02-06,PE,9600.0,14.8,12137.95,2020-03-26,12137.95,49,3500
