Date,Change in OI,Close,Expiry,High,Last,Low,Number of Contracts,Open,Open Interest,Settle Price,Symbol,Turnover,Underlying,Volume,expiry
2009-01-02,,3046.75,,3079.85,,3021.8,,3034.6,,,,61327200000.0,,318672508.0,2009-03-26
2009-01-05,,3121.45,,3131.95,,3056.45,,3058.75,,,,67379399999.99999,,311929372.0,2009-03-26
2009-01-06,,3112.8,,3141.8,,3056.1,,3121.5,,,,80917400000.0,,340452916.0,2009-03-26
2009-01-07,,2920.4,,3147.2,,2888.2,,3112.8,,,,108655500000.0,,686898999.0,2009-03-26
2009-01-09,,2873.0,,2929.85,,2810.25,,2919.95,,,,90808400000.0,,591981660.0,2009-03-26
2009-01-12,,2773.1,,2869.2,,2748.55,,2868.85,,,,68175200000.00001,,272867140.0,2009-03-26
2009-01-13,,2744.95,,2802.6,,2720.8,,2775.0,,,,64075800000.0,,252698258.0,2009-03-26
2009-01-14,,2835.3,,2853.25,,2748.4,,2748.4,,,,56834100000.0,,217953716.0,2009-03-26
2009-01-15,,2736.7,,2832.3,,2701.75,,2832.3,,,,56704300000.0,,218127929.0,2009-03-26
2009-01-16,,2828.45,,2835.65,,2724.2,,2737.0,,,,48179200000.0,,229499649.0,2009-03-26
2009-01-19,,2846.2,,2868.2,,2819.9,,2828.7,,,,45315000000.0,,328336119.0,2009-03-26
2009-01-20,,2796.6,,2842.9,,2758.0,,2842.9,,,,46007900000.0,,233289325.0,2009-03-26
2009-01-21,,2706.15,,2787.3,,2690.2,,2777.4,,,,52540600000.00001,,220067231.0,2009-03-26
2009-01-22,,2713.8,,2744.85,,2681.4,,2714.7,,,,53195200000.00001,,229581189.0,2009-03-26
2009-01-23,,2678.55,,2765.55,,2661.65,,2705.45,,,,50908800000.0,,211289358.0,2009-03-26
2009-01-27,,2771.35,,2777.3,,2685.25,,2686.05,,,,52079500000.0,,220453539.0,2009-03-26
2009-01-28,,2849.5,,2855.4,,2765.6,,2771.1,,,,55615900000.0,,280820341.0,2009-03-26
2009-01-29,,2823.95,,2873.85,,2795.35,,2849.35,,,,71892700000.0,,347987447.0,2009-03-26
2009-01-30,,2874.8,,2881.0,,2774.1,,2824.05,,,,62006600000.0,,295045380.0,2009-03-26
