Date,Open,High,Low,Close,Volume,Turnover,Symbol,Expiry,Last,Settle Price,Number of Contracts,Open Interest,Change in OI,Underlying
2007-08-16,4366.0,4366.0,4171.15,4178.6,97455252.0,56474000000.0,,,,,,,,
2007-08-17,4171.1,4171.1,4002.2,4108.05,136745082.0,78905200000.0,,,,,,,,
2007-08-20,4108.95,4262.6,4108.95,4209.05,68848163.0,41441800000.0,,,,,,,,
2007-08-21,4209.55,4238.1,4058.55,4074.9,76222185.0,46030800000.0,,,,,,,,
2007-08-22,4081.25,4165.7,4040.15,4153.15,88280495.0,48509399999.99999,,,,,,,,
2007-08-23,4160.1,4249.85,4100.8,4114.95,94064917.0,50646700000.0,,,,,,,,
2007-08-24,4113.05,4201.45,4110.05,4190.15,63207503.0,34940200000.0,,,,,,,,
2007-08-27,4193.6,4310.0,4193.6,4302.6,63334364.0,36287500000.0,,,,,,,,
2007-08-28,4302.4,4329.15,4280.6,4320.7,64161720.0,37637800000.0,,,,,,,,
2007-08-29,4317.7,4368.6,4226.35,4359.3,86795180.0,49485700000.0,,,,,,,,
2007-08-30,4360.35,4422.3,4359.75,4412.3,129235436.0,68761600000.0,,,,,,,,
2007-07-02,4318.4,4346.75,4305.45,4313.75,64709910.0,34870200000.0,,,,,,,,
2007-07-03,4315.05,4363.35,4313.55,4357.55,60061503.0,34542600000.0,,,,,,,,
2007-07-04,4358.25,4386.45,4342.0,4359.3,62524977.0,35284500000.0,,,,,,,,
2007-07-05,4359.2,4378.55,4311.8,4353.95,64671779.0,37994000000.0,,,,,,,,
2007-07-06,4353.1,4411.0,4304.0,4384.85,84077477.0,47588700000.0,,,,,,,,
2007-07-09,4385.45,4427.55,4385.45,4419.4,60169572.0,35819300000.0,,,,,,,,
2007-07-10,4419.1,4434.45,4393.0,4406.05,73279845.0,40444100000.0,,,,,,,,
2007-07-11,4403.8,4411.45,4344.7,4387.15,78074214.0,42477100000.0,,,,,,,,
2007-07-12,4388.05,4451.95,4387.05,4446.15,94804490.0,46083700000.0,,,,,,,,
2007-07-13,4446.4,4513.9,4446.05,4504.55,126861025.0,62991800000.0,,,,,,,,
2007-07-16,4505.95,4521.85,4495.95,4512.15,102224299.0,46478300000.0,,,,,,,,
2007-07-17,4497.1,4550.25,4488.25,4496.75,99221022.0,47533900000.0,,,,,,,,
2007-07-18,4498.65,4510.8,4452.85,4499.55,78605118.0,39997600000.0,,,,,,,,
2007-07-19,4500.35,4573.0,4496.2,4562.1,84358586.0,50262600000.0,,,,,,,,
2007-07-20,4563.75,4600.8,4553.8,4566.05,90691447.0,54642000000.0,,,,,,,,
2007-07-23,4564.25,4628.45,4547.2,4619.35,78303529.0,46447100000.0,,,,,,,,
2007-07-24,4620.05,4647.95,4609.75,4620.75,82215745.0,49819300000.0,,,,,,,,
2007-07-25,4620.5,4620.5,4555.8,4588.7,108683665.0,54027400000.0,,,,,,,,
2007-07-26,4593.1,4624.3,4570.8,4619.8,129054845.0,72394300000.0,,,,,,,,
2007-07-27,4618.65,4618.9,4424.25,4445.2,137904339.0,80192600000.0,,,,,,,,
2007-07-30,4442.35,4493.05,4403.7,4440.05,95133545.0,50362500000.0,,,,,,,,
2007-07-31,4444.25,4534.2,4432.85,4528.85,84428945.0,53544300000.0,,,,,,,,
