,Date,Open,High,Low,Close,Volume,Turnover,daily_change,2day_change,3day_change
74,2005-04-21,1930.5,1950.0,1911.4,1948.55,58531700,23069500000.0,18.84999999999991,39.14999999999985,20.75
75,2005-04-22,1950.6,1972.95,1950.0,1967.35,55286066,24001300000.0,18.79999999999995,37.64999999999985,57.94999999999982
76,2005-04-25,1968.45,1974.2,1952.4,1970.95,53653518,20183600000.0,3.6000000000001364,22.40000000000009,41.25
77,2005-04-26,1971.05,1972.85,1951.8,1957.1,51302647,17375700000.0,-13.850000000000136,-10.25,8.549999999999955
78,2005-04-27,1959.45,1962.2,1930.35,1935.4,62035956,25838800000.0,-21.699999999999815,-35.549999999999955,-31.949999999999815
79,2005-04-28,1935.65,1950.25,1921.05,1941.3,82325185,33675700000.0,5.899999999999863,-15.799999999999955,-29.65000000000009
80,2005-04-29,1943.2,1943.2,1896.3,1902.5,64304715,23302400000.0,-38.79999999999996,-32.90000000000009,-54.5999999999999
81,2005-05-02,1903.1,1925.6,1898.15,1916.75,60560833,19668700000.0,14.25,-24.54999999999995,-18.65000000000009
82,2005-05-03,1916.95,1940.1,1911.0,1920.7,51921972,18107200000.0,3.9500000000000455,18.20000000000005,-20.59999999999991
83,2005-05-04,1920.5,1944.45,1920.15,1942.6,48177637,16933900000.000004,21.89999999999986,25.84999999999991,40.0999999999999
84,2005-05-05,1942.6,1973.35,1942.05,1963.3,53020698,19225200000.0,20.70000000000005,42.5999999999999,46.54999999999996
85,2005-05-06,1962.3,1984.4,1947.3,1977.5,52715637,21021300000.0,14.200000000000045,34.90000000000009,56.79999999999996
86,2005-05-09,1978.05,2003.15,1978.05,2000.75,51489665,20010900000.0,23.25,37.450000000000045,58.1500000000001
87,2005-05-10,2001.0,2007.8,1989.1,1994.3,56034583,21859500000.0,-6.4500000000000455,16.799999999999955,31.0
88,2005-05-11,1990.55,1991.85,1975.05,1985.95,44567833,17585800000.0,-8.349999999999909,-14.799999999999955,8.450000000000045
89,2005-05-12,1985.95,1999.85,1981.95,1993.15,36125196,14128400000.0,7.2000000000000455,-1.1499999999998636,-7.599999999999909
90,2005-05-13,1992.5,1992.75,1978.9,1988.3,36652241,14540700000.0,-4.850000000000136,2.349999999999909,-6.0
91,2005-05-16,1991.5,2014.95,1989.7,2012.6,38016370,16033900000.000004,24.29999999999995,19.449999999999818,26.64999999999986
92,2005-05-17,2013.1,2024.6,1984.75,1990.8,48666725,19059600000.0,-21.79999999999995,2.5,-2.3500000000001364
93,2005-05-18,1990.65,1990.95,1964.65,1982.75,51569522,22025400000.0,-8.049999999999955,-29.84999999999991,-5.5499999999999545
94,2005-05-19,1983.15,2008.35,1983.15,1990.85,42626009,17604500000.0,8.099999999999909,0.049999999999954525,-21.75
95,2005-05-20,1991.85,1998.2,1975.95,1992.4,41636877,17649000000.0,1.550000000000182,9.650000000000091,1.6000000000001364
96,2005-05-23,1992.1,2019.35,1991.7,2013.9,37691431,13661800000.0,21.5,23.050000000000185,31.15000000000009
97,2005-05-24,2016.0,2031.9,2009.55,2028.6,56757502,18886100000.0,14.699999999999818,36.19999999999982,37.75
98,2005-05-25,2028.55,2047.45,2019.0,2043.85,76579699,22732300000.0,15.25,29.949999999999815,51.44999999999982
99,2005-05-26,2043.5,2078.65,2025.65,2074.7,88187689,36307100000.0,30.84999999999991,46.0999999999999,60.79999999999972
100,2005-05-27,2073.25,2099.35,2069.5,2076.4,73791013,28451400000.0,1.7000000000002728,32.55000000000018,47.80000000000018
101,2005-05-30,2076.55,2086.85,2064.85,2072.4,54670426,21796700000.0,-4.0,-2.299999999999727,28.550000000000185
102,2005-05-31,2072.5,2091.75,2066.55,2087.55,45872849,20412300000.0,15.150000000000093,11.150000000000093,12.850000000000366
103,2005-06-01,2087.8,2097.6,2081.2,2087.55,58896370,20217600000.0,0.0,15.150000000000093,11.150000000000093
104,2005-06-02,2087.85,2093.45,2062.55,2064.65,50472017,18685400000.0,-22.90000000000009,-22.90000000000009,-7.75
105,2005-06-03,2064.1,2097.25,2061.35,2094.25,52180109,20732100000.0,29.59999999999991,6.699999999999817,6.699999999999817
106,2005-06-04,2094.1,2098.1,2087.0,2092.35,22469509,7758300000.0,-1.900000000000091,27.699999999999815,4.799999999999726
107,2005-06-06,2092.0,2109.1,2087.4,2092.8,42744602,18178900000.0,0.4500000000002729,-1.449999999999818,28.15000000000009
108,2005-06-07,2091.95,2102.85,2084.35,2098.15,36007293,15744400000.0,5.349999999999909,5.800000000000183,3.9000000000000914
109,2005-06-08,2094.7,2115.25,2094.05,2112.4,49625237,19923700000.0,14.25,19.59999999999991,20.050000000000182
110,2005-06-09,2112.25,2118.65,2097.55,2103.2,53924493,17933400000.0,-9.200000000000273,5.049999999999726,10.399999999999636
111,2005-06-10,2103.45,2133.1,2086.3,2090.6,49033630,19713900000.0,-12.599999999999907,-21.800000000000185,-7.550000000000183
112,2005-06-13,2090.7,2106.65,2081.7,2102.75,38787661,15373800000.000004,12.150000000000093,-0.4499999999998181,-9.650000000000091
113,2005-06-14,2103.65,2113.85,2098.7,2112.35,38606690,15982300000.0,9.599999999999909,21.75,9.150000000000091
114,2005-06-15,2110.5,2131.95,2110.35,2128.65,44576500,16907900000.0,16.300000000000182,25.90000000000009,38.05000000000018
115,2005-06-16,2128.3,2135.1,2114.55,2123.7,65288983,23425900000.0,-4.950000000000274,11.349999999999907,20.949999999999818
116,2005-06-17,2123.6,2131.75,2103.9,2123.4,43861852,20246200000.0,-0.29999999999972715,-5.25,11.050000000000182
117,2005-06-20,2130.8,2150.25,2124.65,2144.35,92370554,43254399999.999985,20.949999999999818,20.65000000000009,15.699999999999818
118,2005-06-21,2144.75,2173.25,2140.15,2170.0,68986654,32236500000.0,25.65000000000009,46.5999999999999,46.30000000000018
119,2005-06-22,2167.8,2196.45,2167.35,2187.35,87458824,37954200000.0,17.34999999999991,43.0,63.94999999999982
120,2005-06-23,2187.35,2192.1,2174.05,2183.85,62648424,27679700000.0,-3.5,13.849999999999907,39.5
121,2005-06-24,2184.0,2204.45,2162.95,2194.35,57555948,26023900000.0,10.5,7.0,24.34999999999991
122,2005-06-27,2194.35,2219.65,2188.15,2199.8,93011396,36078500000.0,5.450000000000273,15.950000000000275,12.450000000000275
123,2005-06-28,2199.8,2206.8,2165.9,2169.85,73416302,29138600000.0,-29.950000000000273,-24.5,-14.0
124,2005-06-29,2170.2,2194.25,2162.0,2191.65,58638570,24686600000.0,21.800000000000185,-8.150000000000091,-2.699999999999818
125,2005-06-30,2191.55,2226.15,2189.45,2220.6,82212701,38095100000.0,28.949999999999815,50.75,20.799999999999727
126,2005-07-01,2220.45,2220.55,2198.9,2211.9,54585383,21198600000.0,-8.699999999999818,20.25,42.05000000000018
127,2005-07-04,2212.05,2232.2,2211.4,2230.65,49155821,18729600000.0,18.75,10.050000000000182,39.0
128,2005-07-05,2231.2,2238.6,2205.1,2210.75,55515957,22216700000.0,-19.90000000000009,-1.1500000000000907,-9.849999999999909
129,2005-07-06,2211.35,2232.65,2211.3,2228.2,51427929,20745200000.0,17.449999999999818,-2.450000000000273,16.299999999999727
130,2005-07-07,2228.3,2235.8,2171.25,2179.4,60514945,26961600000.0,-48.79999999999972,-31.34999999999991,-51.25
131,2005-07-08,2183.55,2210.7,2179.05,2196.2,48318799,20660300000.000004,16.799999999999727,-32.0,-14.550000000000182
132,2005-07-11,2195.55,2224.65,2195.55,2218.85,54405573,20054300000.0,22.65000000000009,39.44999999999982,-9.349999999999909
133,2005-07-12,2219.1,2233.2,2191.7,2220.8,71608159,32765100000.000008,1.9500000000002728,24.600000000000364,41.4000000000001
134,2005-07-13,2221.45,2234.15,2200.05,2204.05,74227393,29869800000.0,-16.75,-14.799999999999725,7.850000000000364
135,2005-07-14,2204.4,2212.55,2178.6,2185.1,65035973,28459300000.0,-18.950000000000273,-35.70000000000027,-33.75
136,2005-07-15,2185.1,2216.5,2181.85,2212.55,57478017,24378200000.0,27.450000000000273,8.5,-8.25
137,2005-07-18,2212.95,2248.7,2212.95,2234.0,55018172,26351300000.0,21.449999999999818,48.9000000000001,29.949999999999815
138,2005-07-19,2234.25,2246.7,2227.2,2237.3,51111855,21879000000.0,3.300000000000182,24.75,52.20000000000028
139,2005-07-20,2236.9,2252.0,2236.9,2241.9,56890570,21462100000.0,4.599999999999909,7.900000000000091,29.34999999999991
140,2005-07-21,2240.95,2251.85,2221.2,2230.5,60766699,23607400000.0,-11.400000000000093,-6.800000000000183,-3.5
141,2005-07-22,2231.0,2268.55,2223.15,2265.6,57710283,26530100000.000004,35.09999999999991,23.699999999999815,28.299999999999727
142,2005-07-25,2266.65,2293.95,2266.65,2291.75,81357219,31277200000.0,26.15000000000009,61.25,49.8499999999999
143,2005-07-26,2289.25,2307.1,2279.8,2303.15,98680238,32286100000.0,11.400000000000093,37.55000000000018,72.65000000000009
144,2005-07-27,2304.25,2324.0,2292.85,2319.1,70682407,27516300000.0,15.949999999999818,27.34999999999991,53.5
145,2005-07-29,2318.05,2332.55,2280.85,2312.3,111818711,49579700000.0,-6.799999999999727,9.150000000000091,20.550000000000182
146,2005-08-01,2312.05,2329.9,2294.25,2318.05,59153792,24288300000.0,5.75,-1.0499999999997272,14.900000000000093
147,2005-08-02,2321.9,2357.15,2319.75,2353.65,81640117,35019400000.0,35.5999999999999,41.3499999999999,34.55000000000018
148,2005-08-03,2359.1,2377.0,2345.2,2357.0,102044390,50127200000.0,3.3499999999999086,38.94999999999982,44.69999999999982
149,2005-08-04,2357.75,2377.35,2352.05,2367.8,91949999,37450400000.0,10.800000000000182,14.150000000000093,49.75
150,2005-08-05,2367.35,2377.1,2355.95,2361.2,114264260,33398500000.0,-6.600000000000364,4.199999999999818,7.549999999999727
151,2005-08-08,2361.95,2386.95,2320.05,2324.4,97370128,32298400000.0,-36.79999999999973,-43.4000000000001,-32.59999999999991
152,2005-08-09,2324.75,2342.2,2303.1,2318.7,93650866,32980200000.0,-5.700000000000273,-42.5,-49.10000000000037
153,2005-08-10,2322.3,2364.8,2322.05,2360.15,81805269,27863000000.0,41.45000000000027,35.75,-1.0499999999997272
154,2005-08-11,2358.9,2387.3,2355.5,2380.9,93589538,32967400000.0,20.75,62.20000000000028,56.5
155,2005-08-12,2381.05,2390.45,2356.9,2361.55,71135423,28253800000.0,-19.34999999999991,1.400000000000091,42.850000000000364
156,2005-08-16,2361.65,2379.4,2356.85,2369.8,59048436,23622600000.000004,8.25,-11.099999999999907,9.650000000000091
157,2005-08-17,2369.8,2406.25,2357.5,2403.15,61480220,26769900000.0,33.34999999999991,41.5999999999999,22.25
158,2005-08-18,2404.65,2426.65,2380.7,2388.45,63479228,27569600000.0,-14.700000000000275,18.64999999999964,26.899999999999643
159,2005-08-19,2400.8,2409.35,2378.45,2383.45,47521272,20562900000.0,-5.0,-19.700000000000273,13.649999999999634
160,2005-08-22,2383.45,2403.45,2355.75,2367.85,55932078,20918500000.0,-15.599999999999907,-20.59999999999991,-35.30000000000018
161,2005-08-23,2369.55,2380.5,2320.35,2326.1,57190186,23527900000.0,-41.75,-57.3499999999999,-62.3499999999999
162,2005-08-24,2326.1,2334.9,2300.45,2322.5,68322962,26293600000.0,-3.5999999999999086,-45.3499999999999,-60.94999999999982
163,2005-08-25,2323.1,2359.2,2320.7,2354.55,78538713,31084000000.0,32.05000000000018,28.450000000000273,-13.299999999999725
164,2005-08-26,2354.6,2368.05,2340.2,2357.05,47579420,19534500000.0,2.5,34.55000000000018,30.950000000000273
165,2005-08-29,2359.2,2365.85,2312.6,2337.65,41867254,17711900000.0,-19.40000000000009,-16.90000000000009,15.150000000000093
166,2005-08-30,2337.8,2373.8,2337.75,2367.75,46969539,19996300000.0,30.09999999999991,10.699999999999818,13.199999999999818
167,2005-08-31,2369.05,2387.0,2355.0,2384.65,50116797,21712100000.0,16.90000000000009,47.0,27.59999999999991
168,2005-09-01,2384.7,2412.35,2382.9,2405.75,59762105,23112800000.000004,21.09999999999991,38.0,68.09999999999991
169,2005-09-02,2406.45,2422.1,2396.1,2415.8,61335349,27004500000.0,10.050000000000182,31.15000000000009,48.05000000000018
170,2005-09-05,2417.1,2439.55,2414.95,2422.95,50521839,20089200000.0,7.149999999999636,17.199999999999818,38.29999999999973
171,2005-09-06,2422.4,2436.25,2417.0,2428.65,47409904,18569800000.0,5.700000000000273,12.849999999999907,22.90000000000009
172,2005-09-08,2429.0,2456.9,2429.0,2454.45,46073516,20790800000.0,25.799999999999727,31.5,38.64999999999964
173,2005-09-09,2448.8,2462.8,2441.9,2455.45,47670661,19735600000.0,1.0,26.799999999999727,32.5
174,2005-09-12,2455.85,2486.35,2455.85,2484.15,44832163,18686000000.0,28.700000000000273,29.700000000000273,55.5
175,2005-09-13,2484.0,2503.0,2477.1,2500.35,54880639,23254600000.0,16.199999999999818,44.9000000000001,45.9000000000001
176,2005-09-14,2500.4,2514.75,2476.0,2492.45,82087707,31607700000.0,-7.900000000000091,8.299999999999727,37.0
177,2005-09-15,2492.85,2527.5,2492.75,2523.95,62944965,24144100000.0,31.5,23.59999999999991,39.79999999999973
178,2005-09-16,2524.9,2555.1,2519.05,2552.35,63656466,25029100000.0,28.40000000000009,59.9000000000001,52.0
179,2005-09-19,2555.45,2579.7,2550.45,2567.1,63880908,22944500000.0,14.75,43.1500000000001,74.65000000000009
180,2005-09-20,2567.2,2582.8,2546.6,2578.0,77237821,33477800000.000008,10.900000000000093,25.65000000000009,54.05000000000018
181,2005-09-21,2576.7,2585.6,2504.9,2567.3,108694906,42463300000.0,-10.699999999999818,0.20000000000027285,14.950000000000275
182,2005-09-22,2567.85,2580.4,2465.85,2476.5,103320451,35977000000.0,-90.8000000000002,-101.5,-90.59999999999992
183,2005-09-23,2480.5,2507.9,2453.05,2477.75,84222865,32839200000.0,1.25,-89.5500000000002,-100.25
184,2005-09-26,2477.85,2560.85,2477.85,2557.35,61924057,22721500000.0,79.59999999999991,80.84999999999991,-9.950000000000273
185,2005-09-27,2558.5,2592.5,2549.85,2574.85,80835742,32940700000.0,17.5,97.09999999999992,98.34999999999992
186,2005-09-28,2574.45,2602.95,2559.85,2598.05,75639565,32753400000.0,23.200000000000273,40.70000000000027,120.3000000000002
187,2005-09-29,2598.6,2633.9,2589.45,2611.2,118315309,50208600000.0,13.149999999999634,36.3499999999999,53.8499999999999
188,2005-09-30,2607.9,2623.05,2567.75,2601.4,88155803,36853600000.0,-9.799999999999727,3.3499999999999086,26.550000000000185
189,2005-10-03,2601.0,2635.0,2597.2,2630.05,64623105,25244800000.0,28.65000000000009,18.850000000000364,32.0
190,2005-10-04,2630.0,2667.05,2629.6,2663.35,76746128,33537300000.0,33.29999999999973,61.94999999999982,52.1500000000001
191,2005-10-05,2663.7,2669.2,2636.6,2644.4,87711982,34011900000.0,-18.949999999999818,14.349999999999907,43.0
192,2005-10-06,2643.8,2643.8,2571.3,2579.15,107136584,39702100000.0,-65.25,-84.1999999999998,-50.9000000000001
193,2005-10-07,2577.2,2603.25,2547.55,2574.05,92769893,40388000000.0,-5.099999999999909,-70.34999999999991,-89.29999999999973
194,2005-10-10,2577.1,2595.15,2561.0,2566.85,61304701,26272700000.0,-7.200000000000273,-12.300000000000182,-77.5500000000002
195,2005-10-11,2569.15,2592.0,2533.7,2589.55,71470357,33242000000.0,22.700000000000273,15.5,10.400000000000091
196,2005-10-13,2584.4,2589.35,2529.05,2537.3,95738560,40500900000.0,-52.25,-29.549999999999727,-36.75
197,2005-10-14,2537.7,2548.0,2478.0,2484.4,91435384,36214500000.0,-52.9000000000001,-105.15000000000008,-82.4499999999998
198,2005-10-17,2488.4,2498.6,2459.5,2485.15,76999001,31486200000.0,0.75,-52.1500000000001,-104.40000000000008
199,2005-10-18,2485.25,2517.7,2452.5,2468.2,77318585,33848400000.0,-16.950000000000273,-16.200000000000273,-69.10000000000036
200,2005-10-19,2467.8,2467.85,2394.95,2412.45,93293821,39331500000.0,-55.75,-72.70000000000027,-71.95000000000027
201,2005-10-20,2421.4,2463.85,2363.55,2395.45,114276924,42025700000.0,-17.0,-72.75,-89.70000000000027
202,2005-10-21,2397.85,2447.85,2384.05,2443.75,97458038,37755700000.0,48.30000000000018,31.300000000000185,-24.449999999999815
203,2005-10-24,2444.2,2460.0,2388.4,2394.85,80236463,29433700000.0,-48.9000000000001,-0.5999999999999089,-17.59999999999991
204,2005-10-25,2394.95,2444.6,2390.85,2418.2,85086738,34709600000.0,23.34999999999991,-25.550000000000185,22.75
205,2005-10-26,2418.45,2434.0,2401.1,2408.5,91104303,38009100000.0,-9.699999999999818,13.650000000000093,-35.25
206,2005-10-27,2408.95,2416.45,2338.6,2352.9,125291990,48687000000.0,-55.5999999999999,-65.29999999999973,-41.94999999999982
207,2005-10-28,2352.65,2355.15,2307.45,2316.05,84569727,31922600000.000008,-36.8499999999999,-92.4499999999998,-102.14999999999964
208,2005-10-31,2314.85,2373.4,2314.2,2370.95,69796263,24196000000.0,54.899999999999636,18.049999999999727,-37.55000000000018
209,2005-11-01,2366.8,2410.15,2366.8,2386.75,18746555,6657500000.0,15.800000000000182,70.6999999999998,33.84999999999991
